GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
PMD Matlab,net.sourceforge.pmd.cpd,MatlabLanguage,14,0,0,0,2,0,1,0,1,0
PMD Matlab,net.sourceforge.pmd.cpd,MatlabTokenizer,27,73,0,2,4,16,0,3,0,2
PMD Matlab,net.sourceforge.pmd.lang.matlab.ast,MatlabParserConstants,308,0,0,0,1,0,1,0,1,0
PMD Matlab,net.sourceforge.pmd.lang.matlab.ast,Token,17,17,0,0,6,6,5,2,5,2
PMD Matlab,net.sourceforge.pmd.lang.matlab.ast,MatlabParserTokenManager,2547,2827,530,315,593,474,393,211,17,30
PMD Matlab,net.sourceforge.pmd.lang.matlab,MatlabHandler,5,8,0,0,1,2,1,2,1,2
PMD Matlab,net.sourceforge.pmd.lang.matlab,MatlabTokenManager,0,19,0,0,0,6,0,3,0,3
PMD Matlab,net.sourceforge.pmd.lang.matlab,MatlabParser,14,9,0,0,4,3,3,2,3,2
PMD Matlab,net.sourceforge.pmd.lang.matlab,MatlabLanguageModule,0,20,0,0,0,3,0,1,0,1
