GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
PMD Visualforce,net.sourceforge.pmd.lang.vf,VfParser,7,19,0,0,2,5,2,3,2,3
PMD Visualforce,net.sourceforge.pmd.lang.vf,VfLanguageModule,0,24,0,0,0,3,0,1,0,1
PMD Visualforce,net.sourceforge.pmd.lang.vf,VfSimpleCharStream,0,7,0,0,0,3,0,1,0,1
PMD Visualforce,net.sourceforge.pmd.lang.vf,VfHandler,8,15,0,0,1,4,1,4,1,4
PMD Visualforce,net.sourceforge.pmd.lang.vf,VfTokenManager,19,0,0,0,6,0,3,0,3,0
PMD Visualforce,net.sourceforge.pmd.lang.vf,VfHandler.new VisitorStarter() {...},28,0,0,0,3,0,2,0,2,0
PMD Visualforce,net.sourceforge.pmd.lang.vf,VfHandler.new AbstractASTXPathHandler() {...},1,7,0,0,1,2,1,2,1,2
PMD Visualforce,net.sourceforge.pmd.cpd,VfTokenizer,68,0,2,0,15,0,3,0,2,0
PMD Visualforce,net.sourceforge.pmd.cpd,VfLanguage,18,0,0,0,2,0,1,0,1,0
PMD Visualforce,net.sourceforge.pmd.lang.vf.rule,VfRuleViolationFactory,15,17,0,0,3,4,1,3,1,3
PMD Visualforce,net.sourceforge.pmd.lang.vf.rule,AbstractVfRule,28,107,1,3,6,27,5,18,4,17
PMD Visualforce,net.sourceforge.pmd.lang.vf.rule,VfRuleChainVisitor,17,24,2,2,4,5,2,3,1,2
PMD Visualforce,net.sourceforge.pmd.lang.vf.rule.security,VfCsrfRule,1,94,9,17,0,20,9,8,0,3
PMD Visualforce,net.sourceforge.pmd.lang.vf.rule.security,VfUnescapeElRule.Escaping,5,74,0,0,0,10,1,4,1,4
PMD Visualforce,net.sourceforge.pmd.lang.vf.rule.security,VfUnescapeElRule,337,967,168,204,11,205,122,107,0,19
PMD Visualforce,net.sourceforge.pmd.lang.vf.ast,VfParserConstants,476,0,0,0,1,0,1,0,1,0
PMD Visualforce,net.sourceforge.pmd.lang.vf.ast,ParseException,371,0,32,0,66,0,25,0,5,0
PMD Visualforce,net.sourceforge.pmd.lang.vf.ast,ASTDoctypeExternalId,19,23,3,1,4,8,5,5,3,5
PMD Visualforce,net.sourceforge.pmd.lang.vf.ast,VfParser.LookaheadSuccess,0,3,0,0,0,1,0,1,0,1
PMD Visualforce,net.sourceforge.pmd.lang.vf.ast,JJTVfParserState,116,112,6,4,25,29,10,7,6,6
PMD Visualforce,net.sourceforge.pmd.lang.vf.ast,ASTHtmlScript,4,10,0,0,2,3,1,2,1,2
PMD Visualforce,net.sourceforge.pmd.lang.vf.ast,VfParserVisitorAdapter,20,75,0,0,4,16,4,15,4,15
PMD Visualforce,net.sourceforge.pmd.lang.vf.ast,ASTCompilationUnit,9,5,0,0,3,2,2,1,2,1
PMD Visualforce,net.sourceforge.pmd.lang.vf.ast,VfParser,3508,4495,710,396,754,854,531,232,45,139
PMD Visualforce,net.sourceforge.pmd.lang.vf.ast,ASTDeclaration,12,9,0,0,4,4,3,2,3,2
PMD Visualforce,net.sourceforge.pmd.lang.vf.ast,VfParser.JJCalls,0,3,0,0,0,1,0,1,0,1
PMD Visualforce,net.sourceforge.pmd.lang.vf.ast,ASTCData,9,5,0,0,3,2,2,1,2,1
PMD Visualforce,net.sourceforge.pmd.lang.vf.ast,ASTDoctypeDeclaration,9,12,0,0,3,5,2,3,2,3
PMD Visualforce,net.sourceforge.pmd.lang.vf.ast,ASTLiteral,4,10,0,0,2,3,1,2,1,2
PMD Visualforce,net.sourceforge.pmd.lang.vf.ast,ASTIdentifier,4,10,0,0,2,3,1,2,1,2
PMD Visualforce,net.sourceforge.pmd.lang.vf.ast,VfParserTokenManager,6906,6763,1530,873,1632,1424,1114,442,40,101
PMD Visualforce,net.sourceforge.pmd.lang.vf.ast,DumpFacade,236,0,26,0,42,0,17,0,4,0
PMD Visualforce,net.sourceforge.pmd.lang.vf.ast,SyntaxErrorException,15,0,0,0,6,0,3,0,3,0
PMD Visualforce,net.sourceforge.pmd.lang.vf.ast,Token,14,20,0,0,5,7,4,3,4,3
PMD Visualforce,net.sourceforge.pmd.lang.vf.ast,ASTText,4,10,0,0,2,3,1,2,1,2
PMD Visualforce,net.sourceforge.pmd.lang.vf.ast,ASTArguments,4,10,0,0,2,3,1,2,1,2
PMD Visualforce,net.sourceforge.pmd.lang.vf.ast,StartAndEndTagMismatchException,72,0,0,0,13,0,6,0,6,0
PMD Visualforce,net.sourceforge.pmd.lang.vf.ast,ASTDotExpression,4,10,0,0,2,3,1,2,1,2
PMD Visualforce,net.sourceforge.pmd.lang.vf.ast,ASTElement,4,72,3,3,0,19,3,12,0,12
PMD Visualforce,net.sourceforge.pmd.lang.vf.ast,ASTAttribute,8,54,3,3,2,11,4,7,1,7
PMD Visualforce,net.sourceforge.pmd.lang.vf.ast,AbstractVFNode,10,98,2,14,2,20,4,11,2,5
PMD Visualforce,net.sourceforge.pmd.lang.vf.ast,OpenTagRegister,10,91,3,11,2,26,3,8,0,4
PMD Visualforce,net.sourceforge.pmd.lang.vf.ast,ASTElExpression,4,10,0,0,2,3,1,2,1,2
PMD Visualforce,net.sourceforge.pmd.lang.vf.ast,VfParserTreeConstants,76,0,0,0,1,0,1,0,1,0
PMD Visualforce,net.sourceforge.pmd.lang.vf.ast,ASTAttributeValue,4,10,0,0,2,3,1,2,1,2
PMD Visualforce,net.sourceforge.pmd.lang.vf.ast,ASTExpression,4,10,0,0,2,3,1,2,1,2
PMD Visualforce,net.sourceforge.pmd.lang.vf.ast,ASTContent,4,10,0,0,2,3,1,2,1,2
