GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
PMD Python,net.sourceforge.pmd.lang.python.ast,Token,17,17,0,0,6,6,5,2,5,2
PMD Python,net.sourceforge.pmd.lang.python.ast,PythonParserTokenManager,7160,4034,1436,363,1603,531,968,204,77,31
PMD Python,net.sourceforge.pmd.lang.python.ast,PythonParserConstants,568,0,0,0,1,0,1,0,1,0
PMD Python,net.sourceforge.pmd.lang.python,PythonTokenManager,0,19,0,0,0,6,0,3,0,3
PMD Python,net.sourceforge.pmd.lang.python,PythonHandler,5,8,0,0,1,2,1,2,1,2
PMD Python,net.sourceforge.pmd.lang.python,PythonParser,14,9,0,0,4,3,3,2,3,2
PMD Python,net.sourceforge.pmd.lang.python,PythonLanguageModule,0,20,0,0,0,3,0,1,0,1
PMD Python,net.sourceforge.pmd.cpd,PythonTokenizer,26,72,0,2,4,16,0,3,0,2
PMD Python,net.sourceforge.pmd.cpd,PythonLanguage,14,0,0,0,2,0,1,0,1,0
