GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
PMD C#,net.sourceforge.pmd.lang.cs,CsLanguageModule,18,0,0,0,3,0,1,0,1,0
PMD C#,net.sourceforge.pmd.cpd,CsLanguage,29,0,0,0,8,0,3,0,3,0
PMD C#,net.sourceforge.pmd.cpd,CsTokenizer.Token,0,16,0,0,0,5,0,2,0,2
PMD C#,net.sourceforge.pmd.cpd,CsTokenizer,12,88,3,13,3,21,3,9,1,3
PMD C#,net.sourceforge.pmd.cpd,CsTokenizer.Tokenizer,46,467,9,66,10,105,9,36,0,3
