GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
PMD Apex,net.sourceforge.pmd.lang.apex.ast,ApexParser,11,60,1,3,3,18,1,5,0,4
PMD Apex,net.sourceforge.pmd.lang.apex.ast,ASTExpression,9,0,0,0,3,0,2,0,2,0
PMD Apex,net.sourceforge.pmd.lang.apex.ast,ASTVariableExpression,0,9,0,0,0,3,0,2,0,2
PMD Apex,net.sourceforge.pmd.lang.apex.ast,ASTExpressionStatement,0,9,0,0,0,3,0,2,0,2
PMD Apex,net.sourceforge.pmd.lang.apex.ast,ASTNewMapLiteralExpression,5,4,0,0,1,2,1,1,1,1
PMD Apex,net.sourceforge.pmd.lang.apex.ast,ASTMapEntryNode,5,4,0,0,1,2,1,1,1,1
PMD Apex,net.sourceforge.pmd.lang.apex.ast,ASTClassRefExpression,0,9,0,0,0,3,0,2,0,2
PMD Apex,net.sourceforge.pmd.lang.apex.ast,ASTJavaMethodCallExpression,9,0,0,0,3,0,2,0,2,0
PMD Apex,net.sourceforge.pmd.lang.apex.ast,ASTVariableDeclaration,0,15,0,0,0,4,0,3,0,3
PMD Apex,net.sourceforge.pmd.lang.apex.ast,ApexParser.TopLevelVisitor,0,25,0,0,0,10,0,6,0,6
PMD Apex,net.sourceforge.pmd.lang.apex.ast,ASTNewSetLiteralExpression,5,4,0,0,1,2,1,1,1,1
PMD Apex,net.sourceforge.pmd.lang.apex.ast,ASTAnonymousClass,15,0,0,0,4,0,3,0,3,0
PMD Apex,net.sourceforge.pmd.lang.apex.ast,ASTUserTrigger,11,23,0,0,4,6,1,2,1,2
PMD Apex,net.sourceforge.pmd.lang.apex.ast,ASTNewListInitExpression,0,9,0,0,0,3,0,2,0,2
PMD Apex,net.sourceforge.pmd.lang.apex.ast,ASTField,0,15,0,0,0,4,0,3,0,3
PMD Apex,net.sourceforge.pmd.lang.apex.ast,ASTUserClass,6,28,0,0,3,7,0,3,0,3
PMD Apex,net.sourceforge.pmd.lang.apex.ast,ASTDmlMergeStatement,9,0,0,0,3,0,2,0,2,0
PMD Apex,net.sourceforge.pmd.lang.apex.ast,ASTStatement,9,0,0,0,3,0,2,0,2,0
PMD Apex,net.sourceforge.pmd.lang.apex.ast,ASTThisVariableExpression,5,4,0,0,1,2,1,1,1,1
PMD Apex,net.sourceforge.pmd.lang.apex.ast,ASTAssignmentExpression,0,9,0,0,0,3,0,2,0,2
PMD Apex,net.sourceforge.pmd.lang.apex.ast,ASTPostfixExpression,0,9,0,0,0,3,0,2,0,2
PMD Apex,net.sourceforge.pmd.lang.apex.ast,ASTPackageVersionExpression,9,0,0,0,3,0,2,0,2,0
PMD Apex,net.sourceforge.pmd.lang.apex.ast,ASTDmlDeleteStatement,5,4,0,0,1,2,1,1,1,1
PMD Apex,net.sourceforge.pmd.lang.apex.ast,ASTDoLoopStatement,0,9,0,0,0,3,0,2,0,2
PMD Apex,net.sourceforge.pmd.lang.apex.ast,ASTReferenceExpression,0,9,0,0,0,3,0,2,0,2
PMD Apex,net.sourceforge.pmd.lang.apex.ast,ASTUserInterface,30,4,0,0,8,2,2,1,2,1
PMD Apex,net.sourceforge.pmd.lang.apex.ast,ASTBreakStatement,5,4,0,0,1,2,1,1,1,1
PMD Apex,net.sourceforge.pmd.lang.apex.ast,ASTLiteralExpression,0,9,0,0,0,3,0,2,0,2
PMD Apex,net.sourceforge.pmd.lang.apex.ast,ASTTernaryExpression,5,4,0,0,1,2,1,1,1,1
PMD Apex,net.sourceforge.pmd.lang.apex.ast,ASTContinueStatement,5,4,0,0,1,2,1,1,1,1
PMD Apex,net.sourceforge.pmd.lang.apex.ast,ASTNewSetInitExpression,5,4,0,0,1,2,1,1,1,1
PMD Apex,net.sourceforge.pmd.lang.apex.ast,ASTVariableDeclarationStatements,0,9,0,0,0,3,0,2,0,2
PMD Apex,net.sourceforge.pmd.lang.apex.ast,DumpFacade,129,0,14,0,31,0,11,0,4,0
PMD Apex,net.sourceforge.pmd.lang.apex.ast,ASTBooleanExpression,0,9,0,0,0,3,0,2,0,2
PMD Apex,net.sourceforge.pmd.lang.apex.ast,ASTReturnStatement,0,9,0,0,0,3,0,2,0,2
PMD Apex,net.sourceforge.pmd.lang.apex.ast,ASTFieldDeclarationStatements,0,9,0,0,0,3,0,2,0,2
PMD Apex,net.sourceforge.pmd.lang.apex.ast,ASTDmlInsertStatement,0,9,0,0,0,3,0,2,0,2
PMD Apex,net.sourceforge.pmd.lang.apex.ast,ASTStandardCondition,0,9,0,0,0,3,0,2,0,2
PMD Apex,net.sourceforge.pmd.lang.apex.ast,ASTDmlUpdateStatement,5,4,0,0,1,2,1,1,1,1
PMD Apex,net.sourceforge.pmd.lang.apex.ast,ASTDottedExpression,0,9,0,0,0,3,0,2,0,2
PMD Apex,net.sourceforge.pmd.lang.apex.ast,ASTNewObjectExpression,0,9,0,0,0,3,0,2,0,2
PMD Apex,net.sourceforge.pmd.lang.apex.ast,ASTArrayStoreExpression,9,0,0,0,3,0,2,0,2,0
PMD Apex,net.sourceforge.pmd.lang.apex.ast,ASTUserClassMethods,0,9,0,0,0,3,0,2,0,2
PMD Apex,net.sourceforge.pmd.lang.apex.ast,ASTModifierOrAnnotation,9,0,0,0,3,0,2,0,2,0
PMD Apex,net.sourceforge.pmd.lang.apex.ast,ASTCatchBlockStatement,5,4,0,0,1,2,1,1,1,1
PMD Apex,net.sourceforge.pmd.lang.apex.ast,ASTSuperMethodCallExpression,5,4,0,0,1,2,1,1,1,1
PMD Apex,net.sourceforge.pmd.lang.apex.ast,ASTArrayLoadExpression,5,4,0,0,1,2,1,1,1,1
PMD Apex,net.sourceforge.pmd.lang.apex.ast,ASTUserEnum,11,4,0,0,2,2,2,1,2,1
PMD Apex,net.sourceforge.pmd.lang.apex.ast,ASTNewMapInitExpression,5,4,0,0,1,2,1,1,1,1
PMD Apex,net.sourceforge.pmd.lang.apex.ast,ASTJavaVariableExpression,9,0,0,0,3,0,2,0,2,0
PMD Apex,net.sourceforge.pmd.lang.apex.ast,ApexParserVisitorAdapter,410,0,0,0,83,0,82,0,82,0
PMD Apex,net.sourceforge.pmd.lang.apex.ast,ASTThrowStatement,5,4,0,0,1,2,1,1,1,1
PMD Apex,net.sourceforge.pmd.lang.apex.ast,ASTForLoopStatement,0,9,0,0,0,3,0,2,0,2
PMD Apex,net.sourceforge.pmd.lang.apex.ast,ASTBlockStatement,0,9,0,0,0,3,0,2,0,2
PMD Apex,net.sourceforge.pmd.lang.apex.ast,ASTBinaryExpression,5,4,0,0,1,2,1,1,1,1
PMD Apex,net.sourceforge.pmd.lang.apex.ast,ASTSuperVariableExpression,5,4,0,0,1,2,1,1,1,1
PMD Apex,net.sourceforge.pmd.lang.apex.ast,ASTDmlUndeleteStatement,9,0,0,0,3,0,2,0,2,0
PMD Apex,net.sourceforge.pmd.lang.apex.ast,ASTPrefixExpression,5,4,0,0,1,2,1,1,1,1
PMD Apex,net.sourceforge.pmd.lang.apex.ast,ASTModifierNode,97,9,14,0,8,3,15,2,8,2
PMD Apex,net.sourceforge.pmd.lang.apex.ast,ASTUserExceptionMethods,0,9,0,0,0,3,0,2,0,2
PMD Apex,net.sourceforge.pmd.lang.apex.ast,ASTAnnotationParameter,0,9,0,0,0,3,0,2,0,2
PMD Apex,net.sourceforge.pmd.lang.apex.ast,ASTProperty,0,9,0,0,0,3,0,2,0,2
PMD Apex,net.sourceforge.pmd.lang.apex.ast,ASTParameter,0,15,0,0,0,4,0,3,0,3
PMD Apex,net.sourceforge.pmd.lang.apex.ast,ASTIfBlockStatement,0,9,0,0,0,3,0,2,0,2
PMD Apex,net.sourceforge.pmd.lang.apex.ast,ASTAnnotation,0,9,0,0,0,3,0,2,0,2
PMD Apex,net.sourceforge.pmd.lang.apex.ast,ASTFieldDeclaration,0,9,0,0,0,3,0,2,0,2
PMD Apex,net.sourceforge.pmd.lang.apex.ast,ASTTryCatchFinallyBlockStatement,5,4,0,0,1,2,1,1,1,1
