GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
PMD PHP,net.sourceforge.pmd.lang.php,PhpLanguageModule,0,22,0,0,0,3,0,1,0,1
PMD PHP,net.sourceforge.pmd.cpd,PHPLanguage,18,0,0,0,2,0,1,0,1,0
PMD PHP,net.sourceforge.pmd.cpd,PHPTokenizer,59,0,12,0,10,0,8,0,2,0
