GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
PMD Java,net.sourceforge.pmd.lang.java.rule.comments,CommentRequiredRule,70,546,26,54,12,118,20,34,0,14
PMD Java,net.sourceforge.pmd.lang.java.rule.comments,CommentDefaultAccessModifierRule,11,227,1,31,5,44,3,23,2,8
PMD Java,net.sourceforge.pmd.lang.java.rule.comments,AbstractCommentRule,46,441,13,73,12,94,12,43,1,11
PMD Java,net.sourceforge.pmd.lang.java.rule.comments,HeaderCommentsRule,64,0,0,0,13,0,3,0,3,0
PMD Java,net.sourceforge.pmd.lang.java.rule.comments,CommentContentRule,53,237,10,18,9,49,9,15,1,9
PMD Java,net.sourceforge.pmd.lang.java.rule.comments,HeaderCommentsRule.RequiredHeaderPlacement,95,0,2,0,13,0,6,0,5,0
PMD Java,net.sourceforge.pmd.lang.java.rule.comments,CodeInCommentsRule,3,0,0,0,1,0,1,0,1,0
PMD Java,net.sourceforge.pmd.lang.java.rule.comments,CommentRequiredRule.CommentRequirement,5,79,0,2,0,10,1,5,1,4
PMD Java,net.sourceforge.pmd.lang.java.rule.comments,CommentSizeRule,2,257,1,25,1,42,1,19,0,7
PMD Java,net.sourceforge.pmd.lang.java.rule.comments,JavadocRule,3,0,0,0,1,0,1,0,1,0
PMD Java,net.sourceforge.pmd.lang.java.rule.logging,GuardLogStatementJavaUtilRule,0,195,2,20,0,35,2,16,0,7
PMD Java,net.sourceforge.pmd.lang.java.rule.logging,GuardDebugLoggingRule,0,16,0,0,0,5,0,2,0,2
PMD Java,net.sourceforge.pmd.lang.java.rule.logging,InvalidSlf4jMessageFormatRule,15,399,14,52,4,78,13,31,0,11
PMD Java,net.sourceforge.pmd.lang.java.rule.logging,MoreThanOneLoggerRule,15,137,3,19,7,36,3,15,0,7
PMD Java,net.sourceforge.pmd.lang.java.rule.logging,GuardLogStatementRule,28,235,2,20,5,50,2,17,0,8
PMD Java,net.sourceforge.pmd.lang.java.xpath,TypeOfFunction,19,136,8,24,5,34,8,12,0,4
PMD Java,net.sourceforge.pmd.lang.java.xpath,GetCommentOnFunction,53,12,10,0,12,3,6,2,1,2
PMD Java,net.sourceforge.pmd.lang.java.xpath,JavaFunctions,19,0,0,0,4,0,3,0,3,0
PMD Java,net.sourceforge.pmd.lang.java.rule.naming,VariableNamingConventionsRule,9,599,9,53,2,108,9,36,0,14
PMD Java,net.sourceforge.pmd.lang.java.rule.naming,AvoidDollarSignsRule,0,54,0,6,0,13,0,7,0,4
PMD Java,net.sourceforge.pmd.lang.java.rule.naming,AvoidFieldNameMatchingMethodNameRule,0,95,0,14,0,22,0,10,0,3
PMD Java,net.sourceforge.pmd.lang.java.rule.naming,ClassNamingConventionsRule,0,15,0,2,0,4,0,3,0,2
PMD Java,net.sourceforge.pmd.lang.java.rule.naming,MethodWithSameNameAsEnclosingClassRule,0,32,0,4,0,7,0,4,0,2
PMD Java,net.sourceforge.pmd.lang.java.rule.naming,SuspiciousHashcodeMethodNameRule,0,55,4,8,0,11,4,4,0,2
PMD Java,net.sourceforge.pmd.lang.java.rule.naming,AvoidFieldNameMatchingTypeNameRule,0,32,0,6,0,8,0,6,0,3
PMD Java,net.sourceforge.pmd.lang.java.rule.naming,MethodNamingConventionsRule,0,104,2,14,0,26,2,11,0,5
PMD Java,net.sourceforge.pmd.lang.java.dfa,JavaDFAGraphRule,28,0,0,0,8,0,4,0,4,0
PMD Java,net.sourceforge.pmd.lang.java.dfa,VariableAccessVisitor,1,260,5,29,1,59,5,20,0,8
PMD Java,net.sourceforge.pmd.lang.java.dfa,DataFlowFacade,0,40,0,0,0,11,0,4,0,4
PMD Java,net.sourceforge.pmd.lang.java.dfa,JavaDataFlowNode,41,5,6,0,5,2,4,1,1,1
PMD Java,net.sourceforge.pmd.lang.java.dfa,StatementAndBraceFinder,503,659,43,95,69,163,43,43,0,17
PMD Java,net.sourceforge.pmd.lang.java.rule.design,ConstructorCallsOverridableMethodRule.MethodInvocation,174,287,15,43,33,77,10,29,1,9
PMD Java,net.sourceforge.pmd.lang.java.rule.design,UseUtilityClassRule,2,174,3,47,1,50,3,26,0,4
PMD Java,net.sourceforge.pmd.lang.java.rule.design,GenericClassCounterRule,341,0,20,0,63,0,21,0,11,0
PMD Java,net.sourceforge.pmd.lang.java.rule.design,ConstructorCallsOverridableMethodRule.ConstructorInvocation,6,44,1,1,2,13,3,3,2,3
PMD Java,net.sourceforge.pmd.lang.java.rule.design,ImmutableFieldRule,0,238,5,59,0,57,5,34,0,7
PMD Java,net.sourceforge.pmd.lang.java.rule.design,ConstructorCallsOverridableMethodRule.ConstructorHolderComparator,0,9,0,0,0,2,0,2,0,2
PMD Java,net.sourceforge.pmd.lang.java.rule.design,ExcessiveNodeCountRule,0,58,0,4,0,14,0,4,0,2
PMD Java,net.sourceforge.pmd.lang.java.rule.design,ImmutableFieldRule.FieldImmutabilityType,9,39,0,0,0,4,2,2,2,2
PMD Java,net.sourceforge.pmd.lang.java.rule.design,PreserveStackTraceRule,8,316,12,54,3,71,12,27,0,6
PMD Java,net.sourceforge.pmd.lang.java.rule.design,PositionalIteratorRule,157,0,30,0,34,0,21,0,6,0
PMD Java,net.sourceforge.pmd.lang.java.rule.design,AvoidDeeplyNestedIfStmtsRule,0,66,0,4,0,15,0,6,0,4
PMD Java,net.sourceforge.pmd.lang.java.rule.design,CompareObjectsWithEqualsRule,4,184,10,40,2,34,10,20,0,5
PMD Java,net.sourceforge.pmd.lang.java.rule.design,CloseResourceRule,34,728,24,114,9,157,21,60,0,12
PMD Java,net.sourceforge.pmd.lang.java.rule.design,UnnecessaryLocalBeforeReturnRule,19,292,9,55,4,67,7,33,0,8
PMD Java,net.sourceforge.pmd.lang.java.rule.design,ConfusingTernaryRule,4,194,9,47,2,41,9,28,0,9
PMD Java,net.sourceforge.pmd.lang.java.rule.design,ConstructorCallsOverridableMethodRule.MethodHolderComparator,0,9,0,0,0,2,0,2,0,2
PMD Java,net.sourceforge.pmd.lang.java.rule.design,ExcessiveLengthRule,0,40,0,2,0,10,0,3,0,2
PMD Java,net.sourceforge.pmd.lang.java.rule.design,AccessorMethodGenerationRule,0,128,0,12,0,25,0,10,0,4
PMD Java,net.sourceforge.pmd.lang.java.rule.design,IdempotentOperationsRule,12,206,8,34,2,39,8,15,0,2
PMD Java,net.sourceforge.pmd.lang.java.rule.design,ConstructorCallsOverridableMethodRule.MethodHolder,0,23,0,0,0,10,0,6,0,6
PMD Java,net.sourceforge.pmd.lang.java.rule.design,SingletonClassReturningNewInstanceRule,6,174,8,24,2,45,8,12,0,4
PMD Java,net.sourceforge.pmd.lang.java.rule.design,ConstructorCallsOverridableMethodRule.NullEvalPackage,0,18,0,0,0,7,0,1,0,1
PMD Java,net.sourceforge.pmd.lang.java.rule.design,AvoidReassigningParametersRule,0,98,2,16,0,22,2,11,0,4
PMD Java,net.sourceforge.pmd.lang.java.rule.design,NonThreadSafeSingletonRule,10,217,7,29,4,51,7,16,0,5
PMD Java,net.sourceforge.pmd.lang.java.rule.design,SingleMethodSingletonRule,0,45,0,6,0,10,0,6,0,3
PMD Java,net.sourceforge.pmd.lang.java.rule.design,ConstructorCallsOverridableMethodRule,63,834,34,132,19,194,28,77,0,22
PMD Java,net.sourceforge.pmd.lang.java.rule.design,FieldDeclarationsShouldBeAtStartOfClassRule,0,166,3,29,0,42,3,16,0,3
PMD Java,net.sourceforge.pmd.lang.java.rule.design,SimplifyBooleanReturnsRule,120,327,37,57,28,58,27,33,2,11
PMD Java,net.sourceforge.pmd.lang.java.rule.design,SingularFieldRule,5,281,5,57,3,73,5,30,0,4
PMD Java,net.sourceforge.pmd.lang.java.rule.design,AssignmentToNonFinalStaticRule,0,83,1,13,0,21,1,9,0,3
PMD Java,net.sourceforge.pmd.lang.java.rule.design,UseCollectionIsEmptyRule,0,204,0,20,0,38,0,17,0,7
PMD Java,net.sourceforge.pmd.lang.java.rule.design,AccessorClassGenerationRule,1,114,3,13,1,28,3,9,0,4
PMD Java,net.sourceforge.pmd.lang.java.rule.design,SwitchDensityRule.SwitchDensity,12,34,1,1,4,9,3,4,2,4
PMD Java,net.sourceforge.pmd.lang.java.rule.design,UnsynchronizedStaticDateFormatterRule,0,90,1,15,0,19,1,10,0,3
PMD Java,net.sourceforge.pmd.lang.java.rule.design,SwitchDensityRule,8,72,3,5,2,22,3,5,0,4
PMD Java,net.sourceforge.pmd.lang.java.rule.design,GodClassRule,6,595,8,62,1,122,8,50,0,23
PMD Java,net.sourceforge.pmd.lang.java.rule.design,ConstructorCallsOverridableMethodRule.ConstructorHolder,0,63,1,7,0,23,1,10,0,7
PMD Java,net.sourceforge.pmd.lang.java.rule.design,ConstructorCallsOverridableMethodRule.EvalPackage,0,37,0,0,0,9,0,2,0,2
PMD Java,net.sourceforge.pmd.lang.java.oom.rule,CyclomaticComplexityRule,2,281,3,15,1,42,3,12,0,6
PMD Java,net.sourceforge.pmd.lang.java.oom.signature,FieldSigMask,0,37,0,10,0,9,0,9,0,4
PMD Java,net.sourceforge.pmd.lang.java.oom.signature,Signature.Visibility,5,70,0,6,0,9,1,7,1,4
PMD Java,net.sourceforge.pmd.lang.java.oom.signature,OperationSignature,25,80,9,5,1,11,6,7,1,5
PMD Java,net.sourceforge.pmd.lang.java.oom.signature,OperationSignature.Role,44,262,8,34,9,49,7,23,1,8
PMD Java,net.sourceforge.pmd.lang.java.oom.signature,OperationSigMask,0,61,0,8,0,15,0,10,0,6
PMD Java,net.sourceforge.pmd.lang.java.oom.signature,SigMask,7,33,0,0,2,10,1,4,1,4
