GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
PMD Objective-C,net.sourceforge.pmd.lang.objectivec,ObjectiveCTokenManager,0,19,0,0,0,6,0,3,0,3
PMD Objective-C,net.sourceforge.pmd.lang.objectivec,ObjectiveCLanguageModule,0,24,0,0,0,3,0,1,0,1
PMD Objective-C,net.sourceforge.pmd.lang.objectivec,ObjectiveCParser,14,9,0,0,4,3,3,2,3,2
PMD Objective-C,net.sourceforge.pmd.lang.objectivec,ObjectiveCHandler,5,8,0,0,1,2,1,2,1,2
PMD Objective-C,net.sourceforge.pmd.cpd,ObjectiveCLanguage,18,0,0,0,2,0,1,0,1,0
PMD Objective-C,net.sourceforge.pmd.cpd,ObjectiveCTokenizer,27,70,0,2,4,15,0,3,0,2
PMD Objective-C,net.sourceforge.pmd.lang.objectivec.ast,ObjectiveCParserTokenManager,15273,6465,2592,498,3049,671,1835,283,86,35
PMD Objective-C,net.sourceforge.pmd.lang.objectivec.ast,Token,17,17,0,0,6,6,5,2,5,2
PMD Objective-C,net.sourceforge.pmd.lang.objectivec.ast,ObjectiveCParserConstants,940,0,0,0,1,0,1,0,1,0
